TAG,TYPE,DESCRIPTION,WEIGHT_EMPTY_KG,WEIGHT_OPERATING_KG,WEIGHT_TEST_KG,LENGTH_MM,DIAMETER_MM,HEIGHT_MM,COG_X,COG_Y,COG_Z,POS_X,POS_Y,POS_Z,ORIENTATION,ELEVATION,TIER_LEVEL,BAY_NUMBER,SUPPORT_TYPE,NOTES
T-101,TANK,Crude Oil Storage Tank - Cone Roof,185000,1250000,1450000,0,18000,14000,0,7000,0,0,0,0,V,0,1,1,SKID,Fixed-cone roof API 650 tank
T-102,TANK,Slop Oil Tank - Floating Roof,62000,430000,510000,0,12000,10000,0,5000,0,18500,0,0,V,0,1,2,SKID,Internal floating roof API 650
T-201,TANK,Chemical Dosing Day Tank,800,4200,5500,0,1400,2200,0,1100,0,0,0,36000,V,0,1,3,SKID,Stainless SS316L process service
V-101,VESSEL,HP Flash Drum,12500,38000,62000,6500,1800,0,3250,900,0,0,4200,0,H,4200,1,4,SADDLE,ASME Sec VIII Div 1 - 4200 kPa design
V-102,VESSEL,LP Flash Drum,8200,24000,41000,5200,1500,0,2600,750,0,9500,4200,0,H,4200,1,5,SADDLE,ASME Sec VIII - 800 kPa design pressure
V-201,VESSEL,Reflux Drum,4800,11500,19000,3800,1200,0,1900,600,0,0,7500,0,H,7500,2,2,SADDLE,Top of tower reflux accumulator
V-301,VESSEL,Overhead Accumulator,3200,7800,13000,3200,1000,0,1600,500,0,9500,7500,0,H,7500,2,3,SADDLE,Condensed vapor accumulator
D-101,DRUM,Suction Drum — Feed Compressor,6500,9800,16000,2800,1400,0,1400,700,0,0,4200,9000,H,4200,1,1,SADDLE,KO drum before compressor suction
D-102,DRUM,Flare KO Drum,7800,10200,18000,3500,1600,0,1750,800,0,9500,4200,9000,H,4200,1,2,SADDLE,Liquid dropout before flare header
R-101,REACTOR,Hydrotreater Reactor — 1st Bed,95000,110000,185000,0,2600,9800,0,4900,0,0,4200,18000,V,4200,1,1,SKID,Catalyst bed A - fixed bed catalytic reactor
R-102,REACTOR,Hydrotreater Reactor — 2nd Bed,88000,102000,172000,0,2400,9200,0,4600,0,9500,4200,18000,V,4200,1,2,SKID,Catalyst bed B - fixed bed catalytic reactor
R-201,REACTOR,Dehydrogenation Reactor,42000,56000,90000,0,2000,7500,0,3750,0,19000,4200,18000,V,4200,1,3,SKID,High temperature cyclic service
P-101A,PUMP,Feed Charge Pump (Duty),1850,2200,0,2200,400,900,1100,450,0,0,1000,0,H,1000,1,1,SKID,API 610 BB2 centrifugal - motor driven
P-101B,PUMP,Feed Charge Pump (Standby),1850,2200,0,2200,400,900,1100,450,0,3000,1000,0,H,1000,1,1,SKID,API 610 BB2 centrifugal - standby unit
P-201A,PUMP,Reflux Pump (Duty),620,780,0,1600,300,750,800,375,0,6000,1000,0,H,1000,1,2,SKID,API 610 OH2 overhung - reflux service
P-201B,PUMP,Reflux Pump (Standby),620,780,0,1600,300,750,800,375,0,9000,1000,0,H,1000,1,2,SKID,API 610 OH2 - standby
P-301A,PUMP,Bottoms Pump (Duty),4200,5100,0,2800,500,1100,1400,550,0,12000,1000,0,H,1000,1,3,SKID,Hot service - API 610 BB2 - 320 deg C
P-301B,PUMP,Bottoms Pump (Standby),4200,5100,0,2800,500,1100,1400,550,0,15000,1000,0,H,1000,1,3,SKID,Hot service standby
C-101,COMPRESSOR,Feed Gas Reciprocating Compressor,28000,31000,0,5500,0,2200,2750,1100,0,0,1000,18000,H,1000,1,1,SKID,API 618 recip - 4 stage - 120 bar discharge
BL-101A,BLOWER,Combustion Air Blower (Duty),3200,3600,0,3000,0,1800,1500,900,0,0,1000,27000,H,1000,1,1,SKID,Centrifugal blower - 750 mbar discharge
BL-101B,BLOWER,Combustion Air Blower (Standby),3200,3600,0,3000,0,1800,1500,900,0,3500,1000,27000,H,1000,1,1,SKID,Standby blower unit
HX-101,EXCHANGER,Feed/Effluent Heat Exchanger — Shell,18500,32000,56000,8500,1100,0,4250,550,0,0,3500,9000,H,3500,1,4,SADDLE,BEM type TEMA - hot side shell
HX-102,EXCHANGER,Feed Preheater — Air Cooler,22000,28000,0,12000,0,3800,6000,1900,0,9500,3500,9000,H,3500,1,5,SKID,Aerial cooler - forced draft - 6 bays
HX-201,EXCHANGER,Overhead Condenser — Air Cooler,15000,18500,0,9000,0,3200,4500,1600,0,0,7500,9000,H,7500,2,2,SKID,Induced draft aerial cooler
